,Title_edition,Date_of_publication,Link
92,Iran’s second revolution?,Jul 17th 1999,https://www.economist.com//printedition/1999-07-17
93,"Desperate tyrant, global menace",Jul 10th 1999,https://www.economist.com//printedition/1999-07-10
94,All sewn up?,Jul 3rd 1999,https://www.economist.com//printedition/1999-07-03
95,When companies connect,Jun 26th 1999,https://www.economist.com//printedition/1999-06-26
96,Who’s afraid of genetically modified foods?,Jun 19th 1999,https://www.economist.com//printedition/1999-06-19
97,"Messy war, messy peace",Jun 12th 1999,https://www.economist.com//printedition/1999-06-12
98,"Germany stalls, the euro falls",Jun 5th 1999,https://www.economist.com//printedition/1999-06-05
99,I spy...,May 29th 1999,https://www.economist.com//printedition/1999-05-29
100,Economy wars,May 22nd 1999,https://www.economist.com//printedition/1999-05-22
101,"Anger in China, confusion in Russia",May 15th 1999,https://www.economist.com//printedition/1999-05-15
102,A bungled war,May 8th 1999,https://www.economist.com//printedition/1999-05-08
103,The end of privacy,May 1st 1999,https://www.economist.com//printedition/1999-05-01
104,Defining NATO’s aims,Apr 24th 1999,https://www.economist.com//printedition/1999-04-24
105,A new cold war?,Apr 17th 1999,https://www.economist.com//printedition/1999-04-17
106,Don’t let the endgame be his,Apr 10th 1999,https://www.economist.com//printedition/1999-04-10
107,Victim of Serbia—or NATO?,Apr 3rd 1999,https://www.economist.com//printedition/1999-04-03
108,Stumbling into war,Mar 27th 1999,https://www.economist.com//printedition/1999-03-27
109,How not to deal with China,Mar 20th 1999,https://www.economist.com//printedition/1999-03-20
110,Grrrr!,Mar 13th 1999,https://www.economist.com//printedition/1999-03-13
111,Drowning in oil,Mar 6th 1999,https://www.economist.com//printedition/1999-03-06
112,The new danger,Feb 20th 1999,https://www.economist.com//printedition/1999-02-20
113,The end?,Feb 13th 1999,https://www.economist.com//printedition/1999-02-13
114,Why Internet shares will fall to earth,Jan 30th 1999,https://www.economist.com//printedition/1999-01-30
115,Foolish love,Jan 23rd 1999,https://www.economist.com//printedition/1999-01-23
116,Storm clouds from Brazil,Jan 16th 1999,https://www.economist.com//printedition/1999-01-16
117,How to make mergers work,Jan 9th 1999,https://www.economist.com//printedition/1999-01-09
118,The damage done,Jan 2nd 1999,https://www.economist.com//printedition/1999-01-02
119,Tales of youth and age,Dec 23rd 2000,https://www.economist.com//printedition/2000-12-23
120,The accidental president,Dec 16th 2000,https://www.economist.com//printedition/2000-12-16
121,A hard landing?,Dec 9th 2000,https://www.economist.com//printedition/2000-12-09
122,Win!*,Dec 2nd 2000,https://www.economist.com//printedition/2000-12-02
123,In the mire,Nov 25th 2000,https://www.economist.com//printedition/2000-11-25-0
124,The making of a president,Nov 18th 2000,https://www.economist.com//printedition/2000-11-18
125,Thriller!,Nov 11th 2000,https://www.economist.com//printedition/2000-11-11
126,Crunch time,Nov 4th 2000,https://www.economist.com//printedition/2000-11-04
127,Our constitution for Europe,Oct 28th 2000,https://www.economist.com//printedition/2000-10-28
128,Can it fly?,Oct 21st 2000,https://www.economist.com//printedition/2000-10-21
129,The big wireless gamble,Oct 14th 2000,https://www.economist.com//printedition/2000-10-14
130,The road to war?,Oct 7th 2000,https://www.economist.com//printedition/2000-10-07
131,The great American debate,Sep 30th 2000,https://www.economist.com//printedition/2000-09-30
132,The case for globalisation,Sep 23rd 2000,https://www.economist.com//printedition/2000-09-23-0
133,Euroshambles,Sep 16th 2000,https://www.economist.com//printedition/2000-09-16
134,Is oil poised to strike?,Sep 9th 2000,https://www.economist.com//printedition/2000-09-09-0
135,Asia’s shifting balance of power,Sep 2nd 2000,https://www.economist.com//printedition/2000-09-02
136,Putin’s sea of troubles,Aug 26th 2000,https://www.economist.com//printedition/2000-08-26
137,What the Internet cannot do,Aug 19th 2000,https://www.economist.com//printedition/2000-08-19
138,Will the real Al Gore please stand up,Aug 12th 2000,https://www.economist.com//printedition/2000-08-12
139,The electric revolution,Aug 5th 2000,https://www.economist.com//printedition/2000-08-05
140,Is he ready?,Jul 29th 2000,https://www.economist.com//printedition/2000-07-29
141,How mergers go wrong,Jul 22nd 2000,https://www.economist.com//printedition/2000-07-22
142,Battling with AIDS,Jul 15th 2000,https://www.economist.com//printedition/2000-07-15
143,Making history in Mexico,Jul 8th 2000,https://www.economist.com//printedition/2000-07-08
144,"Life, liberty and the genetic starting-line",Jul 1st 2000,https://www.economist.com//printedition/2000-07-01
145,Mexico’s vote,Jun 24th 2000,https://www.economist.com//printedition/2000-06-24
146,"Greetings, earthlings",Jun 17th 2000,https://www.economist.com//printedition/2000-06-17
147,America’s death-penalty lottery,Jun 10th 2000,https://www.economist.com//printedition/2000-06-10
148,Do missile defences make sense?,Jun 3rd 2000,https://www.economist.com//printedition/2000-06-03
149,Exodus,May 27th 2000,https://www.economist.com//printedition/2000-05-27
150,A vote for China’s freedom,May 20th 2000,https://www.economist.com//printedition/2000-05-20
151,The hopeless continent,May 13th 2000,https://www.economist.com//printedition/2000-05-13
152,Yippee!,May 6th 2000,https://www.economist.com//printedition/2000-05-06
153,Europe limbers up,Apr 29th 2000,https://www.economist.com//printedition/2000-04-29
154,The pawns of Fidel,Apr 22nd 2000,https://www.economist.com//printedition/2000-04-22
155,"Rosy prospects, forgotten dangers",Apr 15th 2000,https://www.economist.com//printedition/2000-04-15
156,Who owns the knowledge economy?,Apr 8th 2000,https://www.economist.com//printedition/2000-04-08
157,America’s education choice,Apr 1st 2000,https://www.economist.com//printedition/2000-04-01
158,Taiwan’s China dare,Mar 25th 2000,https://www.economist.com//printedition/2000-03-25
159,The world’s most dangerous place,Mar 18th 2000,https://www.economist.com//printedition/2000-03-18
160,"New America, same old politics",Mar 11th 2000,https://www.economist.com//printedition/2000-03-11
161,Muddle in the jungle,Mar 4th 2000,https://www.economist.com//printedition/2000-03-04
162,Humdinger!,Feb 26th 2000,https://www.economist.com//printedition/2000-02-26
163,Can Islam and democracy mix?,Feb 19th 2000,https://www.economist.com//printedition/2000-02-19
164,What is Europe?,Feb 12th 2000,https://www.economist.com//printedition/2000-02-12
165,The contender,Feb 5th 2000,https://www.economist.com//printedition/2000-02-05
166,The world,Jan 29th 2000,https://www.economist.com//printedition/2000-01-29
167,A tale of two debtors,Jan 22nd 2000,https://www.economist.com//printedition/2000-01-22
168,The Big Leap,Jan 15th 2000,https://www.economist.com//printedition/2000-01-15
169,Putin the Great Unknown,Jan 8th 2000,https://www.economist.com//printedition/2000-01-08
170,The patient accumulation of successes,Dec 22nd 2001,https://www.economist.com//printedition/2001-12-22
171,Addicted to oil,Dec 15th 2001,https://www.economist.com//printedition/2001-12-15
172,Adieu Arafat?,Dec 8th 2001,https://www.economist.com//printedition/2001-12-08
173,On the ground,Dec 1st 2001,https://www.economist.com//printedition/2001-12-01-0
174,The elusive character of victory,Nov 24th 2001,https://www.economist.com//printedition/2001-11-24
175,After the rout,Nov 17th 2001,https://www.economist.com//printedition/2001-11-17
176,"Suddenly, such good neighbours",Nov 10th 2001,https://www.economist.com//printedition/2001-11-10
177,A heart-rending but necessary war,Nov 3rd 2001,https://www.economist.com//printedition/2001-11-03
178,How the world has (and hasn't) changed,Oct 27th 2001,https://www.economist.com//printedition/2001-10-27
179,The battle of nerves,Oct 20th 2001,https://www.economist.com//printedition/2001-10-20
180,The next phase,Oct 13th 2001,https://www.economist.com//printedition/2001-10-13
181,The propaganda war,Oct 6th 2001,https://www.economist.com//printedition/2001-10-06
182,Closing in,Sep 29th 2001,https://www.economist.com//printedition/2001-09-29
183,The battle ahead,Sep 22nd 2001,https://www.economist.com//printedition/2001-09-22
184,The day the world changed,Sep 15th 2001,https://www.economist.com//printedition/2001-09-15
185,Why brands are good for you,Sep 8th 2001,https://www.economist.com//printedition/2001-09-08
186,Can Russia handle a changed world?,Sep 1st 2001,https://www.economist.com//printedition/2001-09-01
187,2001 things to do in a recession,Aug 25th 2001,https://www.economist.com//printedition/2001-08-25
188,The politics of human rights,Aug 18th 2001,https://www.economist.com//printedition/2001-08-18
189,The Internet's new borders,Aug 11th 2001,https://www.economist.com//printedition/2001-08-11
190,Japan's great hope,Aug 4th 2001,https://www.economist.com//printedition/2001-08-04
191,The case for legalising drugs,Jul 28th 2001,https://www.economist.com//printedition/2001-07-28
192,Missile defences,Jul 21st 2001,https://www.economist.com//printedition/2001-07-21-0
193,Keeping the customer satisfied,Jul 14th 2001,https://www.economist.com//printedition/2001-07-14
194,Air trouble,Jul 7th 2001,https://www.economist.com//printedition/2001-07-07-0
195,As China Changes,Jun 30th 2001,https://www.economist.com//printedition/2001-06-30
196,In the jaws of recession,Jun 23rd 2001,https://www.economist.com//printedition/2001-06-23
197,Does inequality matter?,Jun 16th 2001,https://www.economist.com//printedition/2001-06-16
198,Mr Bush goes to Europe,Jun 9th 2001,https://www.economist.com//printedition/2001-06-09
199,Bush whacked,Jun 2nd 2001,https://www.economist.com//printedition/2001-06-02-0
200,No exit?,May 26th 2001,https://www.economist.com//printedition/2001-05-26
201,A new dawn for nuclear power?,May 19th 2001,https://www.economist.com//printedition/2001-05-19
202,The rights and wrongs of killing Tim McVeigh,May 12th 2001,https://www.economist.com//printedition/2001-05-12
203,Bush’s nuclear plan,May 5th 2001,https://www.economist.com//printedition/2001-05-05-0
204,That shocking conservative,Apr 28th 2001,https://www.economist.com//printedition/2001-04-28
205,Greenspan to the rescue,Apr 21st 2001,https://www.economist.com//printedition/2001-04-21
206,Perfect?,Apr 14th 2001,https://www.economist.com//printedition/2001-04-14-0
207,Seeing red,Apr 7th 2001,https://www.economist.com//printedition/2001-04-07
208,Let the huddled masses in,Mar 31st 2001,https://www.economist.com//printedition/2001-03-31
209,Can the world escape recession?,Mar 24th 2001,https://www.economist.com//printedition/2001-03-24
210,Bush’s Asian challenge,Mar 17th 2001,https://www.economist.com//printedition/2001-03-17
211,Waking up to equity risk,Mar 10th 2001,https://www.economist.com//printedition/2001-03-10-0
212,Gambling man,Mar 3rd 2001,https://www.economist.com//printedition/2001-03-03
213,Africa’s elusive dawn,Feb 24th 2001,https://www.economist.com//printedition/2001-02-24-0
214,Science and profit,Feb 17th 2001,https://www.economist.com//printedition/2001-02-17
215,"Sharon’s Israel, the world’s worry",Feb 10th 2001,https://www.economist.com//printedition/2001-02-10-0
216,Is there life in Internet commerce?,Feb 3rd 2001,https://www.economist.com//printedition/2001-02-03
217,Debt trap!,Jan 27th 2001,https://www.economist.com//printedition/2001-01-27-0
218,And now to work,Jan 20th 2001,https://www.economist.com//printedition/2001-01-20
219,How was it for you?,Jan 13th 2001,https://www.economist.com//printedition/2001-01-13
220,Greenspan’s big surprise,Jan 6th 2001,https://www.economist.com//printedition/2001-01-06
221,A year of surprises,Dec 21st 2002,https://www.economist.com//printedition/2002-12-21
222,Seeing through Iraq,Dec 14th 2002,https://www.economist.com//printedition/2002-12-14
223,Turkey belongs in Europe,Dec 7th 2002,https://www.economist.com//printedition/2002-12-07
224,Preparing for terror,Nov 30th 2002,https://www.economist.com//printedition/2002-11-30
225,Computing's new shape,Nov 23rd 2002,https://www.economist.com//printedition/2002-11-23
226,Now reel Saddam in,Nov 16th 2002,https://www.economist.com//printedition/2002-11-16
227,By George!,Nov 9th 2002,https://www.economist.com//printedition/2002-11-09
228,How and when to open the door to migrants,Nov 2nd 2002,https://www.economist.com//printedition/2002-11-02-0
229,Restoring Europe's smile,Oct 26th 2002,https://www.economist.com//printedition/2002-10-26
230,A world of terror,Oct 19th 2002,https://www.economist.com//printedition/2002-10-19
231,The war about war,Oct 12th 2002,https://www.economist.com//printedition/2002-10-12
232,The meaning of Lula,Oct 5th 2002,https://www.economist.com//printedition/2002-10-05
233,Doldrums. The world economy and how to rescue it,Sep 28th 2002,https://www.economist.com//printedition/2002-09-28
234,"Cross my heart, and hope to get away with it",Sep 21st 2002,https://www.economist.com//printedition/2002-09-21
235,Confronting Iraq,Sep 14th 2002,https://www.economist.com//printedition/2002-09-14
236,Remember,Sep 7th 2002,https://www.economist.com//printedition/2002-09-07
237,Sustaining his development,Aug 31st 2002,https://www.economist.com//printedition/2002-08-31
238,A tale of two bellies,Aug 24th 2002,https://www.economist.com//printedition/2002-08-24
239,I swear...,Aug 17th 2002,https://www.economist.com//printedition/2002-08-17
240,Too many convicts,Aug 10th 2002,https://www.economist.com//printedition/2002-08-10
241,The case for war,Aug 3rd 2002,https://www.economist.com//printedition/2002-08-03
242,"It's the economy, boss",Jul 27th 2002,https://www.economist.com//printedition/2002-07-27
243,The great telecoms crash,Jul 20th 2002,https://www.economist.com//printedition/2002-07-20
244,American capitalism takes a beating,Jul 13th 2002,https://www.economist.com//printedition/2002-07-13
245,Coal. Environmental enemy No.1,Jul 6th 2002,https://www.economist.com//printedition/2002-07-06
246,America's role in the world,Jun 29th 2002,https://www.economist.com//printedition/2002-06-29
247,An economy singed,Jun 22nd 2002,https://www.economist.com//printedition/2002-06-22
248,The dirty bomber,Jun 15th 2002,https://www.economist.com//printedition/2002-06-15-0
249,The wickedness of Wall Street,Jun 8th 2002,https://www.economist.com//printedition/2002-06-08
250,The weakest link,Jun 1st 2002,https://www.economist.com//printedition/2002-06-01
251,The future of mind control,May 25th 2002,https://www.economist.com//printedition/2002-05-25
252,To Russia for love,May 18th 2002,https://www.economist.com//printedition/2002-05-18
253,How sick is Europe?,May 11th 2002,https://www.economist.com//printedition/2002-05-11
254,Fallen idols,May 4th 2002,https://www.economist.com//printedition/2002-05-04-0
255,France's shame,Apr 27th 2002,https://www.economist.com//printedition/2002-04-27
256,Friendly fire,Apr 20th 2002,https://www.economist.com//printedition/2002-04-20
257,From here to Palestine,Apr 13th 2002,https://www.economist.com//printedition/2002-04-13
258,Sharon's war,Apr 6th 2002,https://www.economist.com//printedition/2002-04-06
259,The houses that saved the world,Mar 30th 2002,https://www.economist.com//printedition/2002-03-30
260,America and the Arabs,Mar 23rd 2002,https://www.economist.com//printedition/2002-03-23
261,Too bloody to ignore,Mar 16th 2002,https://www.economist.com//printedition/2002-03-16
262,Six months on,Mar 9th 2002,https://www.economist.com//printedition/2002-03-09
263,Has Latin America lost its way?,Mar 2nd 2002,https://www.economist.com//printedition/2002-03-02-0
264,Hands up all those who think vouchers would improve America's schools,Feb 23rd 2002,https://www.economist.com//printedition/2002-02-23
265,The sadness of Japan,Feb 16th 2002,https://www.economist.com//printedition/2002-02-16
266,The lessons from Enron,Feb 9th 2002,https://www.economist.com//printedition/2002-02-09
267,George Bush and the axis of evil,Feb 2nd 2002,https://www.economist.com//printedition/2002-02-02
268,Ready for take-off?,Jan 26th 2002,https://www.economist.com//printedition/2002-01-26
269,The real scandal,Jan 19th 2002,https://www.economist.com//printedition/2002-01-19
270,The difference a year makes,Jan 12th 2002,https://www.economist.com//printedition/2002-01-12
271,Europe's big idea,Jan 5th 2002,https://www.economist.com//printedition/2002-01-05
272,"Mary, star of both Bible and Koran",Dec 20th 2003,https://www.economist.com//printedition/2003-12-20
273,The shape of things to come,Dec 13th 2003,https://www.economist.com//printedition/2003-12-13
274,Good news for the world economy,Dec 6th 2003,https://www.economist.com//printedition/2003-12-06
275,Help at last on AIDS,Nov 29th 2003,https://www.economist.com//printedition/2003-11-29
276,Over there,Nov 22nd 2003,https://www.economist.com//printedition/2003-11-22
277,They say we're getting a democracy,Nov 15th 2003,https://www.economist.com//printedition/2003-11-15
278,"Greatest danger, or greatest hope?",Nov 8th 2003,https://www.economist.com//printedition/2003-11-08
279,Vlad the impaler,Nov 1st 2003,https://www.economist.com//printedition/2003-11-01
280,The end of the Oil Age,Oct 25th 2003,https://www.economist.com//printedition/2003-10-25
281,"Congratulations, China",Oct 18th 2003,https://www.economist.com//printedition/2003-10-18
282,Where's the stick?,Oct 11th 2003,https://www.economist.com//printedition/2003-10-11
283,Wielders of mass deception?,Oct 4th 2003,https://www.economist.com//printedition/2003-10-04
284,Canada's new spirit,Sep 27th 2003,https://www.economist.com//printedition/2003-09-27
285,The charming outcome of the Canc,Sep 20th 2003,https://www.economist.com//printedition/2003-09-20-0
286,Two years on,Sep 13th 2003,https://www.economist.com//printedition/2003-09-13
287,The road to 2004,Sep 6th 2003,https://www.economist.com//printedition/2003-09-06
288,"Old, unsafe and costly",Aug 30th 2003,https://www.economist.com//printedition/2003-08-30
289,From Baghdad to Jerusalem,Aug 23rd 2003,https://www.economist.com//printedition/2003-08-23
290,Show me the way to go home,Aug 16th 2003,https://www.economist.com//printedition/2003-08-16
291,Blue revolution,Aug 9th 2003,https://www.economist.com//printedition/2003-08-09
292,Dear Mr Berlusconi...,Aug 2nd 2003,https://www.economist.com//printedition/2003-08-02
293,"Blair, the BBC and the war",Jul 26th 2003,https://www.economist.com//printedition/2003-07-26
294,The case for war,Jul 19th 2003,https://www.economist.com//printedition/2003-07-19-0
295,"Unjust, unwise, unAmerican",Jul 12th 2003,https://www.economist.com//printedition/2003-07-12
296,Now for Africa,Jul 5th 2003,https://www.economist.com//printedition/2003-07-05
297,Capitalism and democracy,Jun 28th 2003,https://www.economist.com//printedition/2003-06-28
298,India v China,Jun 21st 2003,https://www.economist.com//printedition/2003-06-21
299,Extinction of the car giants,Jun 14th 2003,https://www.economist.com//printedition/2003-06-14
300,A good beginning,Jun 7th 2003,https://www.economist.com//printedition/2003-06-07
301,"Now, the waging of peace",May 31st 2003,https://www.economist.com//printedition/2003-05-31-0
302,The beauty business,May 24th 2003,https://www.economist.com//printedition/2003-05-24
303,America and the Middle East,May 17th 2003,https://www.economist.com//printedition/2003-05-17
304,How's your pension doing?,May 10th 2003,https://www.economist.com//printedition/2003-05-10
305,Hell-bent,May 3rd 2003,https://www.economist.com//printedition/2003-05-03
306,The SARS virus,Apr 26th 2003,https://www.economist.com//printedition/2003-04-26
307,Building a new Iraq,Apr 19th 2003,https://www.economist.com//printedition/2003-04-19
308,Nemesis,Apr 12th 2003,https://www.economist.com//printedition/2003-04-12
309,At the gates of Baghdad,Apr 5th 2003,https://www.economist.com//printedition/2003-04-05
310,The fog of war,Mar 29th 2003,https://www.economist.com//printedition/2003-03-29
311,What kind of victory?,Mar 22nd 2003,https://www.economist.com//printedition/2003-03-22
312,Saddam's last victory,Mar 15th 2003,https://www.economist.com//printedition/2003-03-15
313,Taking on the world,Mar 8th 2003,https://www.economist.com//printedition/2003-03-08
314,The Iraq endgame,Mar 1st 2003,https://www.economist.com//printedition/2003-03-01
315,Why war would be justified,Feb 22nd 2003,https://www.economist.com//printedition/2003-02-22
316,How deep is the rift?,Feb 15th 2003,https://www.economist.com//printedition/2003-02-15
317,Burden of proof,Feb 8th 2003,https://www.economist.com//printedition/2003-02-08
318,On the brink of war,Feb 1st 2003,https://www.economist.com//printedition/2003-02-01
319,Can Sharon make peace?,Jan 25th 2003,https://www.economist.com//printedition/2003-01-25
320,Lights! Camera! No profits!,Jan 18th 2003,https://www.economist.com//printedition/2003-01-18
321,Is torture ever justified?,Jan 11th 2003,https://www.economist.com//printedition/2003-01-11
322,The explosive Mr Kim,Jan 4th 2003,https://www.economist.com//printedition/2003-01-04
323,The end of the world,Dec 18th 2004,https://www.economist.com//printedition/2004-12-18
324,The Challenger,Dec 11th 2004,https://www.economist.com//printedition/2004-12-11
325,The disappearing dollar,Dec 4th 2004,https://www.economist.com//printedition/2004-12-04
326,Capitalism's new kings,Nov 27th 2004,https://www.economist.com//printedition/2004-11-27
327,China's growth spreads inland,Nov 20th 2004,https://www.economist.com//printedition/2004-11-20
328,Exit Arafat,Nov 13th 2004,https://www.economist.com//printedition/2004-11-13
329,"Now, unite us",Nov 6th 2004,https://www.economist.com//printedition/2004-11-06
330,The incompetent or the incoherent?,Oct 30th 2004,https://www.economist.com//printedition/2004-10-30
331,Israel's unlikely dove,Oct 23rd 2004,https://www.economist.com//printedition/2004-10-23
332,Beating cancer,Oct 16th 2004,https://www.economist.com//printedition/2004-10-16
333,Election 2004,Oct 9th 2004,https://www.economist.com//printedition/2004-10-09
334,Scares ahead for the world economy,Oct 2nd 2004,https://www.economist.com//printedition/2004-10-02-0
335,The right plan for Iraq,Sep 25th 2004,https://www.economist.com//printedition/2004-09-25
336,No way to run a democracy,Sep 18th 2004,https://www.economist.com//printedition/2004-09-18
337,Russia's horror,Sep 11th 2004,https://www.economist.com//printedition/2004-09-11
